 -81 [da:09:af:f3:0f:7c]
RSSI: -81 [da:09:af:f3:0f:7c]
RSSI: -74 [da:09:b0:01:0f:ac]
RSSI: -79 [da:09:b0:0d:0f:cc]
RSSI: -83 [da:09:b0:1b:0f:fc]
RSSI: -82 [da:09:b0:1b:0f:fc]
RSSI: -81 [da:09:b0:29:10:2c]
RSSI: -86 [da:09:b0:44:10:7c]
RSSI: -86 [da:09:b0:44:10:7c]
RSSI: -81 [da:09:b0:52:10:ac]
RSSI: -85 [da:09:b0:5f:10:cc]
RSSI: -84 [da:09:b0:6d:10:fc]
RSSI: -86 [da:09:b0:88:11:4c]
RSSI: -89 [da:09:b0:88:11:4c]
RSSI: -84 [da:09:b0:96:11:6c]
RSSI: -79 [da:09:b0:96:11:6c]
RSSI: -82 [da:09:b0:a4:11:9c]
RSSI: -87 [da:09:b0:b1:11:bc]
RSSI: -85 [da:09:b0:bf:11:ec]
RSSI: -81 [da:09:b0:cd:12:0c]
RSSI: -80 [da:09:b0:cd:12:0c]
RSSI: -79 [da:09:b0:da:12:3c]
RSSI: -77 [da:09:b0:da:12:3c]
RSSI: -76 [da:09:b0:e8:12:5c]
RSSI: -78 [da:09:b0:e8:12:5c]
RSSI: -77 [da:09:b0:f6:12:8c]
RSSI: -79 [da:09:b1:02:12:ac]
RSSI: -78 [da:09:b1:02:12:ac]
RSSI: -98 [da:4f:01:39:16:6b]
RSSI: -77 [da:09:b1:11:12:dc]
RSSI: -76 [da:09:b1:1f:13:0c]
RSSI: -76 [da:09:b1:1f:13:0c]
RSSI: -76 [da:09:b1:2b:13:2c]
RSSI: -76 [da:09:b1:2b:13:2c]
RSSI: -96 [da:4f:01:65:00:5b]
RSSI: -76 [da:09:b1:3a:13:5c]
RSSI: -77 [da:09:b1:3a:13:5c]
RSSI: -75 [da:09:b1:48:13:8c]
RSSI: -80 [da:09:b1:54:13:ac]
RSSI: -80 [da:09:b1:54:13:ac]
RSSI: -79 [da:09:b1:54:13:ac]
RSSI: -76 [da:09:b1:63:13:dc]
RSSI: -78 [da:09:b1:63:13:dc]
RSSI: -79 [da:09:b1:71:13:fc]
RSSI: -73 [da:09:b1:71:13:fc]
RSSI: -72 [da:09:b1:7d:14:2c]
RSSI: -70 [da:09:b1:8c:14:5c]
RSSI: -70 [da:09:b1:8c:14:5c]
RSSI: -72 [da:09:b1:9a:14:7c]
RSSI: -67 [da:09:b1:a6:14:ac]
RSSI: -93 [da:4f:01:dd:01:bb]
RSSI: -71 [da:09:b1:b5:14:cc]
RSSI: -72 [da:09:b1:b5:14:cc]
RSSI: -68 [da:09:b1:b5:14:cc]
RSSI: -91 [da:4f:01:ea:01:eb]
RSSI: -84 [da:09:b1:c3:14:fc]
RSSI: -91 [da:4f:01:fa:02:1b]
RSSI: -73 [da:09:b1:cf:15:1c]
RSSI: -94 [da:4f:02:09:02:4b]
RSSI: -77 [da:09:b1:cf:15:1c]
RSSI: -93 [da:4f:02:09:02:4b]
RSSI: -76 [da:09:b1:de:15:4c]
RSSI: -78 [da:09:b1:de:15:4c]
RSSI: -76 [da:09:b1:de:15:4c]
RSSI: -69 [da:09:b1:ec:15:7c]
RSSI: -68 [da:09:b1:ec:15:7c]
RSSI: -88 [da:4f:02:26:02:9b]
RSSI: -94 [da:4f:02:26:02:9b]
RSSI: -65 [da:09:b1:f8:15:9c]
RSSI: -92 [da:4f:02:35:02:cb]
RSSI: -63 [da:09:b2:07:15:cc]
RSSI: -88 [da:4f:02:35:02:cb]
RSSI: -62 [da:09:b2:07:15:cc]
RSSI: -93 [da:4f:02:42:02:eb]
RSSI: -92 [da:4f:02:42:02:eb]
RSSI: -60 [da:09:b2:15:15:ec]
RSSI: -91 [da:4f:02:42:02:eb]
RSSI: -87 [da:4f:02:62:03:4b]
RSSI: -58 [da:09:b2:30:16:3c]
RSSI: -93 [da:4f:02:62:03:4b]
RSSI: -59 [da:09:b2:30:16:3c]
RSSI: -87 [da:4f:02:6e:03:7b]
RSSI: -57 [da:09:b2:3e:16:6c]
RSSI: -87 [da:4f:02:6e:03:7b]
RSSI: -58 [da:09:b2:4a:00:2c]
RSSI: -56 [da:09:b2:4a:00:2c]
RSSI: -89 [da:4f:02:7e:03:ab]
RSSI: -92 [da:4f:02:8e:03:cb]
RSSI: -58 [da:09:b2:59:00:5c]
RSSI: -89 [da:4f:02:8e:03:cb]
RSSI: -56 [da:09:b2:67:00:7c]
RSSI: -55 [da:09:b2:73:00:ac]
RSSI: -92 [da:4f:02:aa:04:2b]
RSSI: -57 [da:09:b2:82:00:dc]
RSSI: -92 [da:4f:02:ba:04:5b]
RSSI: -56 [da:09:b2:82:00:dc]
RSSI: -57 [da:09:b2:90:00:fc]
RSSI: -57 [da:09:b2:9c:01:2c]
RSSI: -58 [da:09:b2:9c:01:2c]
RSSI: -59 [da:09:b2:ab:01:5c]
RSSI: -58 [da:09:b2:ab:01:5c]
RSSI: -61 [da:09:b2:b9:01:7c]
RSSI: -62 [da:09:b2:c6:01:ac]
RSSI: -97 [da:4f:03:03:05:3b]
RSSI: -63 [da:09:b2:d4:01:cc]
RSSI: -67 [da:09:b2:e2:01:fc]
RSSI: -68 [da:09:b2:e2:01:fc]
RSSI: -72 [da:09:b2:ef:02:2c]
RSSI: -75 [da:09:b2:ef:02:2c]
RSSI: -82 [da:09:b2:fd:02:4c]
RSSI: -80 [da:09:b2:fd:02:4c]
RSSI: -88 [da:09:b3:0b:02:7c]
RSSI: -76 [da:09:b3:0b:02:7c]
RSSI: -98 [da:4f:03:3f:05:eb]
RSSI: -74 [da:09:b3:18:02:9c]
RSSI: -69 [da:09:b3:34:02:fc]
RSSI: -96 [da:4f:03:6b:06:6b]
RSSI: -96 [da:4f:03:6b:06:6b]
RSSI: -71 [da:09:b3:41:03:1c]
RSSI: -70 [da:09:b3:41:03:1c]
RSSI: -71 [da:09:b3:4f:03:4c]
RSSI: -74 [da:09:b3:4f:03:4c]
RSSI: -74 [da:09:b3:5d:03:7c]
RSSI: -80 [da:09:b3:5d:03:7c]
RSSI: -80 [da:09:b3:6a:03:9c]
RSSI: -83 [da:09:b3:6a:03:9c]
RSSI: -96 [da:4f:03:a4:07:1b]
RSSI: -87 [da:09:b3:78:03:cc]
RSSI: -78 [da:09:b3:86:03:ec]
RSSI: -96 [da:4f:03:b4:07:4b]
RSSI: -77 [da:09:b3:93:04:1c]
RSSI: -78 [da:09:b3:a1:04:3c]
RSSI: -75 [da:09:b3:a1:04:3c]
RSSI: -81 [da:09:b3:b0:04:6c]
RSSI: -79 [da:09:b3:b0:04:6c]
RSSI: -76 [da:09:b3:bc:04:9c]
