-70 [da:2f:8d:53:0d:ea]
RSSI: -70 [da:2f:8d:60:0e:1a]
RSSI: -68 [da:2f:8d:60:0e:1a]
RSSI: -69 [da:2f:8d:6d:0e:3a]
RSSI: -68 [da:2f:8d:6d:0e:3a]
RSSI: -68 [da:2f:8d:7a:0e:5a]
RSSI: -68 [da:2f:8d:86:0e:8a]
RSSI: -67 [da:2f:8d:86:0e:8a]
RSSI: -68 [da:2f:8d:86:0e:8a]
RSSI: -69 [da:2f:8d:93:0e:aa]
RSSI: -69 [da:2f:8d:93:0e:aa]
RSSI: -70 [da:2f:8d:a0:0e:ca]
RSSI: -70 [da:2f:8d:ad:0e:ea]
RSSI: -70 [da:2f:8d:ad:0e:ea]
RSSI: -70 [da:2f:8d:ad:0e:ea]
RSSI: -92 [da:35:31:04:0f:8c]
RSSI: -70 [da:2f:8d:ba:0f:1a]
RSSI: -70 [da:2f:8d:ba:0f:1a]
RSSI: -70 [da:2f:8d:c7:0f:3a]
RSSI: -68 [da:2f:8d:d3:0f:5a]
RSSI: -68 [da:2f:8d:d3:0f:5a]
RSSI: -89 [da:35:31:30:10:0c]
RSSI: -68 [da:2f:8d:e0:0f:8a]
RSSI: -67 [da:2f:8d:ed:0f:aa]
RSSI: -90 [da:35:31:3c:10:3c]
RSSI: -66 [da:2f:8d:fa:0f:ca]
RSSI: -66 [da:2f:8e:07:0f:fa]
RSSI: -66 [da:2f:8e:07:0f:fa]
RSSI: -90 [da:35:31:5b:10:9c]
RSSI: -90 [da:35:31:5b:10:9c]
RSSI: -66 [da:2f:8e:14:10:1a]
RSSI: -65 [da:2f:8e:20:10:3a]
RSSI: -91 [da:35:31:77:10:fc]
RSSI: -94 [da:32:97:33:0f:8e]
RSSI: -67 [da:2f:8e:2d:10:5a]
RSSI: -67 [da:2f:8e:2d:10:5a]
RSSI: -88 [da:35:31:87:11:2c]
RSSI: -68 [da:2f:8e:3a:10:8a]
RSSI: -94 [da:32:97:3f:0f:be]
RSSI: -84 [da:35:31:87:11:2c]
RSSI: -68 [da:2f:8e:47:10:aa]
RSSI: -83 [da:35:31:93:11:4c]
RSSI: -68 [da:2f:8e:54:10:ca]
RSSI: -80 [da:35:31:a3:11:7c]
RSSI: -68 [da:2f:8e:54:10:ca]
RSSI: -81 [da:35:31:a3:11:7c]
RSSI: -66 [da:2f:8e:61:10:fa]
RSSI: -79 [da:35:31:b2:11:bc]
RSSI: -78 [da:35:31:b2:11:bc]
RSSI: -65 [da:2f:8e:6d:11:1a]
RSSI: -77 [da:35:31:bf:11:dc]
RSSI: -63 [da:2f:8e:7a:11:3a]
RSSI: -63 [da:2f:8e:7a:11:3a]
RSSI: -77 [da:35:31:ce:12:0c]
RSSI: -77 [da:35:31:ce:12:0c]
RSSI: -76 [da:35:31:ce:12:0c]
RSSI: -61 [da:2f:8e:87:11:6a]
RSSI: -76 [da:35:31:de:12:3c]
RSSI: -60 [da:2f:8e:94:11:8a]
RSSI: -75 [da:35:31:ea:12:6c]
RSSI: -59 [da:2f:8e:a1:11:aa]
RSSI: -75 [da:35:31:ea:12:6c]
RSSI: -59 [da:2f:8e:a1:11:aa]
RSSI: -58 [da:2f:8e:ae:11:da]
RSSI: -74 [da:35:31:fa:12:9c]
RSSI: -57 [da:2f:8e:ba:11:fa]
RSSI: -74 [da:35:32:09:12:cc]
