loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2025-03-26T11:39:33.043Z,1,1742989172.998707,53.36841493518224,-1.448455254859632,125.9895,0,0.9898009,323.6270322131714,180,3.372574397029493,4.73817253477435,-9999
2025-03-26T11:39:34.043Z,2,1742989173.998695,53.36841518570763,-1.44845755859325,126.0409,0.05492131,1.902253,323.6270294830899,180,3.372326076682064,4.738349276416733,-9999
2025-03-26T11:39:35.047Z,3,1742989174.999999,53.36841616116425,-1.448471970674616,125.7675,0.4138428,1.58608,306.7715787030377,180,3.372579571569299,4.738168851594703,-9999
2025-03-26T11:39:36.042Z,4,1742989176.000004,53.3684123839888,-1.448496810177243,125.8781,1.040564,1.284549,266.2201819743777,42.109945208842,3.37569956286081,4.735946525678913,-9999
2025-03-26T11:39:37.043Z,5,1742989176.99999,53.36840876079062,-1.448522542386037,125.7719,1.38728,1.282817,263.2262461752333,30.54341406087132,3.380789482575269,4.732314392271216,-9999
2025-03-26T11:39:38.047Z,6,1742989177.999997,53.36840912722493,-1.448547718546083,126.1894,1.551251,1.258832,267.9718369132667,27.22217252961538,3.379526659773156,4.733216304868321,-9999
2025-03-26T11:39:39.043Z,7,1742989179.00001,53.36841027596033,-1.448569961757241,125.9291,1.548447,1.268981,271.6680509801341,27.82882594127224,3.378007976567546,4.734300280192931,-9999
2025-03-26T11:39:40.048Z,8,1742989180,53.36841242109777,-1.448593383813984,126.0051,1.584466,1.261687,274.6096910359088,27.17615514525014,3.377877500361551,4.734393374587713,-9999
2025-03-26T11:39:41.045Z,9,1742989181.000008,53.36841337443258,-1.448612983448333,126.0495,1.441835,1.268839,274.4705161785607,29.77076550909971,3.378899116377516,4.733664309404721,-9999
2025-03-26T11:39:42.043Z,10,1742989182.000019,53.36841204768698,-1.448630853270088,125.9142,1.322372,1.26573,270.3271905687465,31.79623795351706,3.37839359215142,4.73402511287161,-9999
