 -82 [da:11:1c:d7:12:dc]
RSSI: -87 [da:0e:81:49:0d:2e]
RSSI: -88 [da:09:94:34:14:9b]
RSSI: -87 [da:09:94:34:14:9b]
RSSI: -82 [da:09:94:43:14:cb]
RSSI: -86 [da:0e:81:58:0d:4e]
RSSI: -83 [da:09:94:53:14:fb]
RSSI: -85 [da:0b:78:52:12:ba]
RSSI: -86 [da:09:94:5f:15:1b]
RSSI: -86 [da:0e:81:73:0d:9e]
RSSI: -90 [da:0b:78:52:12:ba]
RSSI: -86 [da:09:94:5f:15:1b]
RSSI: -86 [da:0e:81:73:0d:9e]
RSSI: -91 [da:0b:78:60:12:da]
RSSI: -87 [da:0b:78:60:12:da]
RSSI: -81 [da:09:94:7e:15:6b]
RSSI: -92 [da:0b:78:6d:12:fa]
RSSI: -82 [da:09:94:7e:15:6b]
RSSI: -83 [da:0e:81:91:0d:ee]
RSSI: -93 [da:0b:78:7b:13:2a]
RSSI: -85 [da:09:94:8a:15:9b]
RSSI: -89 [da:0e:81:9e:0e:1e]
RSSI: -81 [da:09:94:8a:15:9b]
RSSI: -84 [da:09:94:9a:15:cb]
RSSI: -83 [da:0e:81:ac:0e:3e]
RSSI: -88 [da:11:1d:4e:14:5c]
RSSI: -87 [da:0b:78:96:13:7a]
RSSI: -84 [da:0b:78:96:13:7a]
RSSI: -84 [da:09:94:a9:15:eb]
RSSI: -83 [da:0e:81:bb:0e:6e]
RSSI: -85 [da:0b:78:a4:13:9a]
RSSI: -89 [da:11:1d:5e:14:8c]
RSSI: -84 [da:0b:78:b3:13:ca]
RSSI: -84 [da:0b:78:b3:13:ca]
RSSI: -83 [da:0e:81:cd:0e:9e]
RSSI: -82 [da:09:94:c5:16:4b]
RSSI: -85 [da:0b:78:bf:13:ea]
RSSI: -85 [da:09:94:d4:16:6b]
RSSI: -89 [da:0e:81:ec:0e:fe]
RSSI: -92 [da:0b:78:ce:14:1a]
RSSI: -84 [da:09:94:e1:00:0b]
RSSI: -85 [da:09:94:e1:00:0b]
RSSI: -84 [da:0e:81:f9:0f:1e]
RSSI: -88 [da:0b:78:dc:14:3a]
RSSI: -84 [da:09:94:f0:00:2b]
RSSI: -85 [da:0b:78:e9:14:5a]
RSSI: -86 [da:09:94:f0:00:2b]
RSSI: -82 [da:0e:82:07:0f:4e]
RSSI: -91 [da:11:1d:a7:15:7c]
RSSI: -84 [da:0e:82:07:0f:4e]
RSSI: -85 [da:09:94:ff:00:5b]
RSSI: -87 [da:09:95:0c:00:7b]
RSSI: -84 [da:0b:79:05:14:aa]
RSSI: -87 [da:09:95:0c:00:7b]
RSSI: -85 [da:0e:82:23:0f:9e]
RSSI: -91 [da:0b:79:05:14:aa]
RSSI: -90 [da:0e:82:23:0f:9e]
RSSI: -96 [da:11:1d:d4:15:fc]
RSSI: -89 [da:09:95:2b:00:db]
RSSI: -89 [da:09:95:2b:00:db]
RSSI: -84 [da:0b:79:20:14:fa]
RSSI: -85 [da:0e:82:40:0f:ee]
RSSI: -95 [da:0e:82:4d:10:0e]
